feature,importance
bb_middle,30
bb_width,23
macd_signal,22
bb_lower,18
macd,13
price_bb_upper_dist,11
bb_upper,10
body,9
range,8
momentum_convergence,7
macd_hist,7
momentum_20,6
momentum_10,6
range_pct,5
body_pct,5
momentum_ratio,5
macd_strength,5
rsi_normalized,4
rsi_divergence,3
rsi,3
signal_convergence,1
lower_shadow,1
upper_shadow,1
bb_position_normalized,0
bb_position,0
price_bb_lower_dist,0
bb_breakout_upper,0
bb_breakout_lower,0
rsi_oversold,0
macd_hist_change,0
macd_cross_signal,0
is_bullish,0
rsi_overbought,0
