feature,importance
bb_width,119
atr_ratio,77
ema_slow,62
atr_ma,62
macd_signal,60
price_bb_upper_dist,42
macd_hist,39
bb_middle,34
bb_lower,32
bb_upper,31
macd,27
atr_normalized,26
body,25
ema_cross_pct,22
atr,22
ema_fast,17
ema_cross,16
range,15
rsi_divergence,12
macd_strength,11
range_pct,10
upper_shadow,8
price_ema_slow_dist,8
body_pct,7
price_ema_fast_dist,6
price_bb_lower_dist,5
rsi_normalized,2
macd_cross_signal,1
macd_hist_change,1
rsi,1
bb_position_normalized,1
bb_position,1
bb_breakout_upper,0
bb_breakout_lower,0
ema_cross_signal,0
rsi_oversold,0
rsi_overbought,0
is_bullish,0
lower_shadow,0
signal_convergence,0
