feature,importance
bb_width,13
atr_ratio,9
atr_ma,9
ema_slow,7
macd_signal,7
atr_normalized,6
bb_upper,5
macd_strength,4
bb_lower,4
ema_cross_pct,4
rsi_divergence,4
price_bb_upper_dist,4
upper_shadow,4
lower_shadow,3
ema_cross,3
body_pct,3
range,3
price_ema_slow_dist,3
rsi_normalized,2
price_ema_fast_dist,2
range_pct,2
price_bb_lower_dist,1
bb_position_normalized,1
rsi,1
ema_fast,1
body,1
atr,1
ema_cross_signal,0
bb_position,0
rsi_oversold,0
rsi_overbought,0
is_bullish,0
bb_breakout_upper,0
bb_breakout_lower,0
macd_hist,0
macd_hist_change,0
macd_cross_signal,0
macd,0
bb_middle,0
signal_convergence,0
