feature,importance
bb_width,44
atr_ratio,38
atr_ma,31
upper_shadow,23
ema_cross_pct,22
price_bb_upper_dist,22
bb_lower,20
atr_normalized,16
ema_slow,15
ema_cross,15
price_ema_slow_dist,13
range_pct,13
body,13
rsi_divergence,12
bb_upper,12
price_ema_fast_dist,10
range,9
price_bb_lower_dist,9
ema_fast,8
bb_middle,8
rsi_normalized,7
body_pct,7
atr,7
lower_shadow,7
rsi,6
bb_position,5
bb_position_normalized,2
rsi_oversold,1
signal_convergence,1
ema_cross_signal,0
bb_breakout_upper,0
bb_breakout_lower,0
rsi_overbought,0
is_bullish,0
