feature,importance
volume_ratio,29
macd_signal,21
ema_slow,19
sma_32,18
sma_16,14
body,13
range,9
ema_fast,9
range_pct,8
macd_hist,7
volume_ma,7
momentum_ratio,6
momentum_20,6
momentum_10,5
macd,5
ema_cross_pct,4
price_sma_16_dist,3
ema_cross,3
macd_hist_change,2
body_pct,2
momentum_convergence,2
price_ema_fast_dist,2
price_ema_slow_dist,1
macd_strength,1
volume_change,0
price_sma_32_dist,0
ema_cross_signal,0
volume_spike,0
macd_cross_signal,0
is_bullish,0
lower_shadow,0
upper_shadow,0
signal_convergence,0
