feature,importance
bb_upper,6
bb_width,6
price_ema_fast_dist,3
bb_lower,3
macd_signal,3
body_pct,2
body,2
ema_cross_pct,2
rsi_divergence,2
atr_ratio,2
atr,1
atr_normalized,1
upper_shadow,1
macd_hist,1
macd_strength,1
price_bb_lower_dist,0
bb_position_normalized,0
price_bb_upper_dist,0
rsi,0
bb_breakout_upper,0
bb_breakout_lower,0
macd_hist_change,0
macd_cross_signal,0
atr_ma,0
bb_position,0
ema_cross,0
price_ema_slow_dist,0
ema_cross_signal,0
ema_fast,0
rsi_oversold,0
rsi_overbought,0
rsi_normalized,0
is_bullish,0
lower_shadow,0
range_pct,0
range,0
macd,0
bb_middle,0
ema_slow,0
signal_convergence,0
