feature,importance
bb_width,249
ema_slow,102
bb_lower,102
body,89
bb_upper,76
bb_middle,70
ema_fast,54
body_pct,50
atr_ratio,30
price_bb_upper_dist,22
ema_cross_pct,16
ema_cross,14
price_ema_slow_dist,9
range,7
price_ema_fast_dist,6
atr,6
range_pct,5
atr_ma,4
price_bb_lower_dist,4
rsi,3
rsi_divergence,3
atr_normalized,2
bb_position_normalized,1
rsi_normalized,1
ema_cross_signal,0
rsi_oversold,0
rsi_overbought,0
bb_position,0
is_bullish,0
bb_breakout_upper,0
bb_breakout_lower,0
lower_shadow,0
upper_shadow,0
signal_convergence,0
