feature,importance
macd,5
price_bb_upper_dist,4
bb_width,4
ema_slow,3
bb_upper,3
macd_hist,3
atr,3
range,3
rsi,2
ema_cross_pct,2
lower_shadow,2
range_pct,2
macd_signal,2
body,1
macd_hist_change,1
atr_ratio,1
price_ema_slow_dist,1
bb_lower,1
rsi_divergence,1
rsi_normalized,1
macd_strength,1
bb_position_normalized,1
atr_ma,0
macd_cross_signal,0
bb_breakout_lower,0
bb_breakout_upper,0
atr_normalized,0
price_bb_lower_dist,0
ema_cross,0
bb_position,0
price_ema_fast_dist,0
ema_cross_signal,0
ema_fast,0
rsi_oversold,0
rsi_overbought,0
is_bullish,0
upper_shadow,0
body_pct,0
bb_middle,0
signal_convergence,0
