feature,importance
ema_slow,0.0005839545224967657
ema_fast,0.0005159268431134123
range_pct,0.0004660063050252461
macd_signal,0.0002765929035978762
macd_strength,0.0002623589544539229
range,0.00021528749818422455
rsi,0.00021017951155144488
macd,0.00020862378549346694
ema_cross_pct,0.00018998426601601892
return_12,0.00014138693635512567
macd_hist,0.00011900383740126586
rsi_divergence,0.00011107682108457695
upper_shadow,0.00010039853588672543
rsi_normalized,9.134805104671351e-05
lower_shadow,8.734096420326409e-05
price_ema_slow_dist,7.68041051026902e-05
body,6.660840686123493e-05
ema_cross,6.0099701549631845e-05
body_pct,5.874513193715458e-05
return_3,4.662204332817055e-05
macd_hist_change,4.0845226578767324e-05
return_1,4.021623471239799e-05
price_ema_fast_dist,3.719974469618137e-05
return_6,2.3252359838465964e-05
signal_convergence,1.653248988731093e-05
log_return,7.4014640176756075e-06
macd_cross_signal,9.070760143004009e-07
rsi_overbought,0.0
rsi_oversold,0.0
is_bullish,0.0
ema_cross_signal,0.0
