feature,importance
ema_slow,774.7858805656433
ema_fast,769.4634127616882
return_12,618.8449306488037
macd_signal,599.7019090652466
macd_hist_change,591.2893600463867
price_ema_fast_dist,544.5048499107361
rsi,540.2436399459839
ema_cross_pct,537.0649857521057
range,531.2348980903625
macd_hist,519.4286570549011
price_ema_slow_dist,457.2229084968567
rsi_divergence,444.0900993347168
macd_strength,399.88128185272217
lower_shadow,382.4619016647339
range_pct,368.623655796051
upper_shadow,347.49976801872253
return_1,338.56262588500977
macd,332.3233816623688
return_3,314.88947105407715
return_6,285.8381679058075
body,246.90278148651123
body_pct,222.2229700088501
rsi_normalized,118.83337020874023
log_return,61.89479923248291
signal_convergence,34.16755962371826
ema_cross,27.059329986572266
is_bullish,8.327919960021973
ema_cross_signal,0.0
rsi_overbought,0.0
macd_cross_signal,0.0
rsi_oversold,0.0
