feature,importance
bb_lower,4.8080103503878036e-05
ema_fast,2.8874139630374884e-05
ema_slow,1.2161120732656627e-05
bb_upper,1.1298934097681013e-05
macd,1.1178960107827152e-05
price_bb_upper_dist,6.864752094770665e-06
bb_width,6.093189995226567e-06
macd_hist,4.755519967147848e-06
macd_signal,3.3360265234705366e-06
ema_cross,2.2881199583935086e-06
bb_middle,1.0961965841715937e-06
ema_cross_pct,7.3023699087571e-07
return_12,5.29178976194089e-07
price_ema_slow_dist,0.0
price_bb_lower_dist,0.0
bb_position,0.0
bb_position_normalized,0.0
rsi,0.0
bb_breakout_upper,0.0
bb_breakout_lower,0.0
price_ema_fast_dist,0.0
macd_cross_signal,0.0
macd_strength,0.0
atr_normalized,0.0
atr_ma,0.0
atr_ratio,0.0
macd_hist_change,0.0
rsi_overbought,0.0
ema_cross_signal,0.0
lower_shadow,0.0
atr,0.0
range,0.0
range_pct,0.0
body,0.0
body_pct,0.0
upper_shadow,0.0
is_bullish,0.0
rsi_divergence,0.0
return_1,0.0
return_3,0.0
return_6,0.0
log_return,0.0
rsi_normalized,0.0
rsi_oversold,0.0
signal_convergence,0.0
