feature,importance
ema_slow,9201.231476306915
ema_fast,7956.7404799461365
macd_signal,4372.001735687256
macd_strength,3469.581304550171
macd,2974.3751559257507
ema_cross_pct,2585.3909096717834
rsi,2470.2446546554565
range,2457.728771209717
macd_hist,2353.1562333106995
price_ema_slow_dist,2130.335826396942
return_12,1950.132640838623
price_ema_fast_dist,1877.3398985862732
range_pct,1863.7407674789429
macd_hist_change,1699.0557045936584
return_6,1677.956226825714
upper_shadow,1429.928903579712
lower_shadow,1210.188398361206
ema_cross,991.9269905090332
rsi_normalized,972.709171295166
return_3,893.8014693260193
rsi_divergence,816.150110244751
return_1,772.1371192932129
body,697.1654896736145
body_pct,433.6199975013733
log_return,432.89481925964355
signal_convergence,361.09894704818726
macd_cross_signal,30.756179809570312
ema_cross_signal,0.0
rsi_oversold,0.0
rsi_overbought,0.0
is_bullish,0.0
