feature,importance
volatility_ma,105
adx,89
volume_ratio,86
sma_50,83
volatility_ratio,59
ema_slow,50
macd_signal,49
ema_fast,43
volatility,42
macd_strength,41
sma_20,40
macd_hist,40
stoch_d,40
volume_ma,36
return_24,31
rsi,25
momentum_convergence,23
return_12,21
macd,18
ema_cross_pct,18
momentum_20,17
price_sma_20_dist,15
rsi_normalized,14
return_6,14
momentum_ratio,14
price_ema_slow_dist,13
price_sma_50_dist,11
stoch_k,11
price_ema_fast_dist,10
momentum_10,8
ema_cross,8
range_pct,8
upper_shadow,8
return_3,7
range,6
body_pct,5
macd_hist_change,4
volume_change,3
market_regime,3
rsi_divergence,3
lower_shadow,2
log_return,1
body,1
return_1,1
volume_spike,0
signal_convergence,0
is_bullish,0
strong_trend,0
stoch_oversold,0
macd_cross_signal,0
stoch_overbought,0
rsi_overbought,0
rsi_oversold,0
low_volatility,0
high_volatility,0
ema_cross_signal,0
