feature,importance
sma_50,50
atr_ma,45
volume_ma,45
adx,36
bb_upper,35
bb_middle,34
volatility_ma,32
price_sma_50_dist,29
bb_lower,26
volatility,22
atr,21
bb_width,21
volatility_ratio,20
return_24,15
momentum_convergence,15
stoch_d,14
atr_normalized,11
volume_ratio,11
momentum_ratio,10
range,10
rsi,9
atr_ratio,8
price_bb_lower_dist,6
rsi_normalized,6
momentum_20,6
stoch_k,5
upper_shadow,5
return_6,5
lower_shadow,4
bb_position,3
range_pct,3
sma_20,2
price_bb_upper_dist,2
rsi_divergence,2
momentum_10,1
body_pct,1
return_3,1
return_12,1
stoch_oversold,0
signal_convergence,0
stoch_overbought,0
price_sma_20_dist,0
low_volatility,0
strong_trend,0
bb_position_normalized,0
high_volatility,0
volume_change,0
volume_spike,0
bb_breakout_lower,0
bb_breakout_upper,0
rsi_oversold,0
rsi_overbought,0
log_return,0
return_1,0
is_bullish,0
body,0
market_regime,0
