feature,importance
atr_ma,8
bb_upper,7
bb_lower,7
atr_normalized,6
volume_ma,6
volatility_ratio,6
sma_50,5
bb_middle,5
adx,5
volatility,4
rsi_normalized,3
volume_ratio,3
volatility_ma,3
price_bb_upper_dist,2
atr,2
momentum_ratio,1
atr_ratio,1
volume_change,1
momentum_convergence,1
rsi,1
strong_trend,1
range_pct,1
range,1
low_volatility,0
high_volatility,0
stoch_k,0
stoch_d,0
stoch_oversold,0
volume_spike,0
sma_20,0
price_sma_20_dist,0
price_sma_50_dist,0
signal_convergence,0
stoch_overbought,0
bb_position_normalized,0
bb_breakout_lower,0
bb_breakout_upper,0
momentum_10,0
momentum_20,0
body,0
body_pct,0
upper_shadow,0
lower_shadow,0
is_bullish,0
return_1,0
return_3,0
return_6,0
return_12,0
return_24,0
log_return,0
rsi_overbought,0
rsi_oversold,0
rsi_divergence,0
bb_width,0
bb_position,0
price_bb_lower_dist,0
market_regime,0
