feature,importance
volatility_ma,254
sma_50,227
bb_lower,170
volatility_ratio,156
atr_ma,131
volume_ma,124
adx,122
volume_ratio,96
ema_slow,91
bb_upper,91
volatility,91
bb_width,80
ema_cross,74
momentum_convergence,68
price_bb_lower_dist,53
ema_fast,50
bb_middle,50
rsi,49
ema_cross_pct,45
return_12,44
price_sma_50_dist,43
atr_ratio,41
return_24,41
atr,38
atr_normalized,37
momentum_20,36
momentum_ratio,36
stoch_d,34
price_bb_upper_dist,31
range_pct,23
momentum_10,23
rsi_normalized,20
stoch_k,18
price_ema_fast_dist,16
price_sma_20_dist,13
volume_change,12
bb_position,11
return_6,11
range,7
bb_position_normalized,7
return_3,6
price_ema_slow_dist,5
market_regime,5
body_pct,5
rsi_divergence,4
upper_shadow,4
body,3
lower_shadow,3
return_1,3
sma_20,2
strong_trend,1
stoch_overbought,0
signal_convergence,0
stoch_oversold,0
bb_breakout_lower,0
bb_breakout_upper,0
low_volatility,0
high_volatility,0
log_return,0
rsi_overbought,0
rsi_oversold,0
volume_spike,0
ema_cross_signal,0
is_bullish,0
