feature,importance
sma_50,96
ema_fast,75
volume_ma,72
volatility,71
ema_slow,61
volatility_ma,60
adx,49
sma_20,47
volatility_ratio,44
macd_signal,35
return_24,35
macd_strength,30
macd_hist,27
macd,21
momentum_20,19
price_sma_50_dist,19
volume_ratio,15
ema_cross_pct,14
return_12,13
stoch_d,13
momentum_ratio,12
momentum_convergence,10
rsi,10
momentum_10,10
range,10
return_6,7
range_pct,7
rsi_normalized,6
volume_change,6
price_sma_20_dist,4
ema_cross,4
body,3
signal_convergence,3
upper_shadow,3
lower_shadow,3
return_1,3
rsi_divergence,3
macd_hist_change,2
price_ema_slow_dist,2
price_ema_fast_dist,2
return_3,2
stoch_k,2
high_volatility,1
strong_trend,0
stoch_oversold,0
stoch_overbought,0
ema_cross_signal,0
low_volatility,0
volume_spike,0
macd_cross_signal,0
rsi_oversold,0
rsi_overbought,0
log_return,0
is_bullish,0
body_pct,0
market_regime,0
