feature,importance
sma_50,20
atr_ma,14
volume_ma,11
volatility,10
adx,10
bb_middle,9
bb_width,8
volatility_ma,8
bb_upper,7
bb_lower,6
price_bb_lower_dist,5
atr_ratio,5
momentum_20,4
momentum_10,4
momentum_ratio,4
lower_shadow,4
range,4
bb_position,3
return_24,3
return_6,3
atr,3
stoch_d,3
stoch_k,2
momentum_convergence,2
volume_ratio,2
price_bb_upper_dist,1
volatility_ratio,1
rsi_oversold,1
return_3,1
price_sma_20_dist,1
price_sma_50_dist,1
range_pct,1
stoch_overbought,0
stoch_oversold,0
strong_trend,0
low_volatility,0
high_volatility,0
sma_20,0
signal_convergence,0
rsi,0
bb_position_normalized,0
volume_change,0
volume_spike,0
atr_normalized,0
bb_breakout_lower,0
bb_breakout_upper,0
rsi_divergence,0
rsi_overbought,0
rsi_normalized,0
log_return,0
return_12,0
return_1,0
is_bullish,0
upper_shadow,0
body_pct,0
body,0
market_regime,0
