feature,importance
volatility_ma,154
sma_50,148
volume_ratio,98
bb_middle,90
atr_ma,86
bb_lower,83
bb_width,80
volume_ma,71
bb_upper,62
volatility_ratio,52
volatility,48
price_bb_upper_dist,39
price_sma_50_dist,38
adx,38
rsi,36
price_bb_lower_dist,36
return_24,34
atr_ratio,33
stoch_d,24
momentum_convergence,21
momentum_20,20
range_pct,18
momentum_ratio,17
return_12,16
atr_normalized,15
bb_position,15
atr,13
price_sma_20_dist,11
rsi_normalized,11
momentum_10,9
sma_20,7
bb_position_normalized,7
upper_shadow,7
range,6
return_6,6
market_regime,5
body,5
volume_spike,5
lower_shadow,3
return_3,3
body_pct,2
high_volatility,2
signal_convergence,1
strong_trend,1
low_volatility,1
volume_change,1
rsi_divergence,1
stoch_k,0
is_bullish,0
stoch_overbought,0
stoch_oversold,0
bb_breakout_upper,0
return_1,0
log_return,0
rsi_overbought,0
rsi_oversold,0
bb_breakout_lower,0
