feature,importance
adx,31
volume_ma,22
atr_normalized,20
volatility_ma,18
ema_cross_pct,16
atr_ma,14
ema_cross,13
ema_slow,11
bb_width,9
atr,9
atr_ratio,8
volatility_ratio,8
bb_upper,8
bb_lower,7
stoch_d,7
volatility,6
bb_middle,6
return_24,6
price_bb_upper_dist,5
momentum_convergence,5
momentum_20,4
rsi_normalized,4
volume_ratio,4
rsi_divergence,3
rsi,3
stoch_k,3
price_sma_20_dist,3
price_sma_50_dist,3
return_6,2
momentum_ratio,2
price_ema_fast_dist,2
ema_fast,2
sma_50,2
bb_position,2
momentum_10,2
return_3,2
volume_change,1
sma_20,1
price_ema_slow_dist,1
price_bb_lower_dist,1
range,1
range_pct,1
body,1
return_12,1
upper_shadow,1
bb_breakout_lower,0
lower_shadow,0
signal_convergence,0
body_pct,0
strong_trend,0
stoch_oversold,0
stoch_overbought,0
low_volatility,0
is_bullish,0
bb_breakout_upper,0
high_volatility,0
return_1,0
log_return,0
volume_spike,0
rsi_overbought,0
rsi_oversold,0
ema_cross_signal,0
bb_position_normalized,0
market_regime,0
