feature,importance
atr_ma,114
volume_ma,109
sma_50,95
volatility_ma,79
bb_width,73
bb_upper,51
return_24,49
bb_middle,43
atr_ratio,34
bb_lower,33
volatility,32
price_sma_50_dist,26
price_bb_lower_dist,24
atr,21
momentum_20,18
price_bb_upper_dist,18
atr_normalized,17
momentum_convergence,16
bb_position,16
volatility_ratio,15
volume_ratio,13
price_sma_20_dist,12
adx,10
return_6,9
upper_shadow,8
return_12,7
range,7
rsi,7
sma_20,6
bb_position_normalized,5
momentum_10,5
rsi_normalized,4
stoch_d,3
return_3,3
lower_shadow,3
range_pct,2
stoch_k,2
rsi_divergence,1
momentum_ratio,1
body_pct,1
volume_change,1
signal_convergence,0
body,0
strong_trend,0
stoch_oversold,0
stoch_overbought,0
high_volatility,0
low_volatility,0
bb_breakout_upper,0
is_bullish,0
return_1,0
volume_spike,0
log_return,0
rsi_overbought,0
rsi_oversold,0
bb_breakout_lower,0
market_regime,0
