feature,importance
sma_50,23
volume_ma,22
atr_ma,19
bb_middle,17
bb_upper,17
volatility_ma,14
adx,13
atr_ratio,12
bb_width,11
atr,8
price_bb_lower_dist,8
atr_normalized,8
momentum_convergence,7
volatility,7
price_sma_50_dist,7
bb_position,5
lower_shadow,5
return_12,4
volume_ratio,4
volatility_ratio,4
bb_lower,4
return_24,3
momentum_20,3
volume_change,2
rsi_normalized,2
return_6,2
stoch_k,1
upper_shadow,1
body_pct,1
range_pct,1
range,1
momentum_10,1
momentum_ratio,1
stoch_d,1
return_3,1
rsi,0
stoch_overbought,0
stoch_oversold,0
strong_trend,0
sma_20,0
low_volatility,0
signal_convergence,0
price_sma_20_dist,0
bb_position_normalized,0
high_volatility,0
volume_spike,0
bb_breakout_lower,0
bb_breakout_upper,0
price_bb_upper_dist,0
rsi_divergence,0
rsi_oversold,0
rsi_overbought,0
log_return,0
return_1,0
is_bullish,0
body,0
market_regime,0
