feature,importance
sma_50,22
bb_lower,14
volatility_ma,14
bb_upper,13
adx,13
atr_ma,13
volume_ratio,11
atr_ratio,10
bb_middle,9
bb_width,8
volume_ma,8
atr_normalized,7
price_sma_50_dist,6
volatility,6
atr,5
volatility_ratio,5
price_bb_lower_dist,4
momentum_convergence,3
stoch_d,3
price_sma_20_dist,3
rsi_normalized,3
stoch_k,2
price_bb_upper_dist,2
return_12,2
return_3,2
range_pct,2
momentum_20,2
momentum_10,2
momentum_ratio,1
rsi,1
bb_position_normalized,1
body,1
return_24,1
return_6,1
bb_breakout_upper,0
is_bullish,0
signal_convergence,0
range,0
body_pct,0
sma_20,0
strong_trend,0
upper_shadow,0
stoch_oversold,0
stoch_overbought,0
lower_shadow,0
low_volatility,0
bb_breakout_lower,0
high_volatility,0
return_1,0
volume_change,0
volume_spike,0
log_return,0
rsi_overbought,0
rsi_oversold,0
rsi_divergence,0
bb_position,0
market_regime,0
