feature,importance
macd_signal,38
atr_normalized,28
adx,27
volume_ma,23
bb_width,19
bb_lower,18
volatility_ma,18
volatility,18
macd_hist,18
atr_ma,16
atr_ratio,14
macd_strength,14
atr,13
momentum_convergence,12
return_6,12
ema_cross_pct,12
return_24,12
volatility_ratio,11
sma_50,11
macd,10
ema_fast,9
range,9
bb_upper,9
bb_middle,9
momentum_ratio,9
price_bb_upper_dist,8
price_sma_50_dist,7
stoch_d,7
price_sma_20_dist,5
volume_ratio,5
price_bb_lower_dist,4
macd_hist_change,4
return_12,4
ema_slow,4
price_ema_fast_dist,3
return_1,3
bb_position,3
upper_shadow,3
momentum_20,3
momentum_10,3
return_3,3
sma_20,2
rsi,2
rsi_divergence,2
price_ema_slow_dist,2
body,2
market_regime,1
stoch_k,1
macd_cross_signal,1
rsi_normalized,1
log_return,1
range_pct,1
bb_position_normalized,1
stoch_overbought,0
lower_shadow,0
strong_trend,0
is_bullish,0
stoch_oversold,0
signal_convergence,0
body_pct,0
bb_breakout_lower,0
low_volatility,0
rsi_overbought,0
volume_change,0
volume_spike,0
rsi_oversold,0
ema_cross,0
ema_cross_signal,0
bb_breakout_upper,0
high_volatility,0
