feature,importance
volatility,107
volume_ma,93
adx,79
stoch_d,78
macd_signal,69
sma_50,65
macd_strength,61
ema_fast,56
atr_ma,50
ema_slow,49
volatility_ma,47
momentum_convergence,44
return_24,42
sma_20,36
volatility_ratio,26
momentum_20,25
stoch_k,25
momentum_ratio,22
macd_hist,20
atr,20
lower_shadow,19
body,18
range,16
atr_normalized,14
atr_ratio,11
range_pct,10
price_sma_50_dist,9
return_6,9
body_pct,8
macd,6
macd_hist_change,5
volume_ratio,5
return_1,5
return_3,4
ema_cross_pct,4
return_12,4
momentum_10,3
market_regime,3
price_ema_fast_dist,3
volume_change,2
price_ema_slow_dist,1
log_return,1
ema_cross,1
upper_shadow,1
stoch_oversold,1
stoch_overbought,0
macd_cross_signal,0
low_volatility,0
strong_trend,0
ema_cross_signal,0
price_sma_20_dist,0
high_volatility,0
is_bullish,0
signal_convergence,0
volume_spike,0
