feature,importance
atr_ma,45
volatility,41
sma_50,38
volume_ma,37
adx,35
volatility_ma,32
price_bb_lower_dist,19
range,17
stoch_d,16
return_24,15
bb_width,14
atr,13
bb_upper,13
atr_ratio,13
momentum_10,13
ema_slow,13
return_6,10
ema_fast,10
bb_lower,10
ema_cross_pct,10
momentum_ratio,8
volume_change,8
momentum_20,7
return_12,6
lower_shadow,6
ema_cross,5
bb_position,5
momentum_convergence,5
rsi_oversold,4
atr_normalized,4
volume_ratio,4
return_3,3
price_sma_50_dist,3
bb_middle,3
price_sma_20_dist,2
upper_shadow,2
range_pct,2
rsi,2
volatility_ratio,1
price_ema_slow_dist,1
price_ema_fast_dist,1
bb_breakout_lower,0
log_return,0
signal_convergence,0
body,0
body_pct,0
is_bullish,0
sma_20,0
strong_trend,0
return_1,0
stoch_oversold,0
stoch_overbought,0
stoch_k,0
bb_breakout_upper,0
low_volatility,0
high_volatility,0
rsi_normalized,0
rsi_overbought,0
rsi_divergence,0
volume_spike,0
ema_cross_signal,0
bb_position_normalized,0
price_bb_upper_dist,0
market_regime,0
