feature,importance
volume_ma,49
adx,40
volatility,40
ema_fast,35
bb_lower,33
macd_signal,33
atr_ma,32
sma_50,30
macd_strength,28
volatility_ma,28
atr,23
volatility_ratio,22
bb_middle,22
bb_width,21
atr_normalized,21
bb_upper,20
atr_ratio,19
momentum_convergence,18
ema_slow,18
stoch_d,15
macd_hist,11
return_24,11
price_bb_upper_dist,10
volume_ratio,10
momentum_20,9
macd_hist_change,8
return_6,8
range_pct,7
price_sma_50_dist,7
macd,7
momentum_ratio,6
range,6
ema_cross_pct,6
lower_shadow,5
upper_shadow,5
strong_trend,4
body,4
price_bb_lower_dist,3
rsi,3
bb_position_normalized,3
body_pct,3
return_12,3
bb_position,2
price_ema_slow_dist,2
momentum_10,2
rsi_normalized,1
signal_convergence,1
price_sma_20_dist,1
sma_20,1
return_3,1
stoch_k,1
market_regime,1
ema_cross,1
rsi_divergence,1
volume_spike,0
return_1,0
bb_breakout_lower,0
macd_cross_signal,0
price_ema_fast_dist,0
ema_cross_signal,0
is_bullish,0
stoch_oversold,0
volume_change,0
stoch_overbought,0
rsi_oversold,0
low_volatility,0
high_volatility,0
rsi_overbought,0
bb_breakout_upper,0
log_return,0
