feature,importance
adx,33
bb_lower,31
volatility_ratio,30
volume_ratio,25
macd_signal,23
volatility,19
volatility_ma,18
atr_ma,18
ema_fast,17
bb_upper,16
atr_ratio,16
volume_ma,15
macd_strength,15
sma_50,14
bb_width,14
macd,11
atr_normalized,10
return_24,9
rsi,9
atr,9
bb_middle,9
range,9
ema_slow,9
momentum_ratio,8
macd_hist,6
range_pct,5
price_bb_lower_dist,5
bb_position,5
price_sma_50_dist,5
stoch_d,4
ema_cross_pct,4
return_12,4
bb_position_normalized,3
price_ema_slow_dist,3
ema_cross,2
signal_convergence,2
momentum_20,2
upper_shadow,2
stoch_k,2
rsi_normalized,2
macd_hist_change,1
sma_20,1
return_3,1
price_bb_upper_dist,1
momentum_convergence,1
price_sma_20_dist,1
high_volatility,1
stoch_overbought,0
low_volatility,0
strong_trend,0
momentum_10,0
stoch_oversold,0
is_bullish,0
macd_cross_signal,0
volume_change,0
volume_spike,0
body,0
body_pct,0
return_1,0
bb_breakout_lower,0
bb_breakout_upper,0
price_ema_fast_dist,0
ema_cross_signal,0
rsi_divergence,0
rsi_oversold,0
rsi_overbought,0
log_return,0
lower_shadow,0
return_6,0
market_regime,0
