feature,importance
volume_ma,19
volatility_ma,14
bb_middle,13
atr_ma,12
adx,12
sma_50,12
price_sma_50_dist,8
volatility_ratio,8
atr_ratio,8
bb_width,6
atr,6
return_24,6
price_sma_20_dist,5
atr_normalized,5
bb_upper,5
momentum_ratio,4
volatility,4
rsi,3
momentum_20,3
return_6,2
volume_ratio,2
return_12,1
momentum_10,1
momentum_convergence,1
price_bb_lower_dist,1
stoch_d,1
stoch_k,1
sma_20,0
strong_trend,0
stoch_oversold,0
volume_spike,0
high_volatility,0
low_volatility,0
stoch_overbought,0
signal_convergence,0
volume_change,0
bb_position_normalized,0
bb_breakout_lower,0
bb_breakout_upper,0
bb_lower,0
range,0
range_pct,0
body,0
body_pct,0
upper_shadow,0
lower_shadow,0
is_bullish,0
return_1,0
return_3,0
log_return,0
rsi_normalized,0
rsi_overbought,0
rsi_oversold,0
rsi_divergence,0
bb_position,0
price_bb_upper_dist,0
market_regime,0
