feature,importance
adx,52
volume_ma,48
atr_normalized,46
atr_ma,44
volatility_ma,42
macd_signal,37
macd_strength,34
atr_ratio,28
sma_50,27
ema_fast,24
return_24,20
sma_20,17
volatility,17
return_6,16
macd_hist,15
macd,15
atr,13
volatility_ratio,12
momentum_convergence,12
ema_cross_pct,11
ema_slow,10
price_sma_50_dist,10
price_sma_20_dist,8
momentum_20,7
macd_hist_change,7
stoch_d,6
momentum_10,5
volume_ratio,5
momentum_ratio,5
range,4
volume_change,4
return_12,4
return_3,3
body,2
return_1,2
price_ema_fast_dist,2
stoch_k,2
range_pct,2
upper_shadow,1
price_ema_slow_dist,1
ema_cross,1
lower_shadow,1
log_return,1
stoch_oversold,0
signal_convergence,0
strong_trend,0
is_bullish,0
stoch_overbought,0
low_volatility,0
high_volatility,0
volume_spike,0
body_pct,0
macd_cross_signal,0
ema_cross_signal,0
market_regime,0
