feature,importance
volatility,253
sma_50,202
volatility_ma,198
stoch_d,181
volume_ma,171
ema_fast,167
macd_signal,167
adx,161
momentum_convergence,143
ema_slow,125
sma_20,118
momentum_20,79
stoch_k,59
macd_strength,48
price_sma_50_dist,47
volatility_ratio,39
rsi_normalized,33
return_24,22
rsi,17
ema_cross_pct,15
return_6,14
price_ema_slow_dist,11
macd_hist,11
range,10
return_12,8
macd,7
price_sma_20_dist,6
signal_convergence,6
price_ema_fast_dist,6
volume_ratio,6
ema_cross,5
lower_shadow,3
momentum_10,3
range_pct,2
volume_change,2
stoch_overbought,1
market_regime,1
momentum_ratio,1
rsi_divergence,1
body,1
return_1,1
log_return,1
high_volatility,0
low_volatility,0
rsi_oversold,0
rsi_overbought,0
volume_spike,0
stoch_oversold,0
return_3,0
strong_trend,0
macd_hist_change,0
is_bullish,0
upper_shadow,0
body_pct,0
macd_cross_signal,0
ema_cross_signal,0
