feature,importance
volatility,185
sma_50,173
macd_signal,158
adx,144
stoch_d,139
volume_ma,122
volatility_ma,117
ema_fast,114
macd_strength,109
atr_ma,102
ema_slow,84
return_24,83
momentum_convergence,77
sma_20,74
atr,58
macd_hist,37
volatility_ratio,35
lower_shadow,34
momentum_20,33
stoch_k,29
atr_ratio,23
atr_normalized,15
range,14
volume_ratio,14
momentum_ratio,14
range_pct,13
price_sma_50_dist,12
momentum_10,12
return_6,10
macd,10
ema_cross_pct,10
body,8
market_regime,7
price_ema_slow_dist,7
return_12,7
body_pct,5
price_ema_fast_dist,5
return_3,3
upper_shadow,3
price_sma_20_dist,2
return_1,2
low_volatility,1
high_volatility,0
macd_hist_change,0
volume_change,0
stoch_overbought,0
stoch_oversold,0
ema_cross,0
strong_trend,0
log_return,0
volume_spike,0
is_bullish,0
macd_cross_signal,0
signal_convergence,0
ema_cross_signal,0
