feature,importance
sma_50,74
atr_ma,61
volume_ma,58
volatility,53
volatility_ma,51
bb_upper,43
bb_lower,42
bb_middle,41
atr,40
bb_width,38
ema_fast,38
macd_signal,32
adx,31
return_24,29
macd,28
volatility_ratio,21
macd_strength,21
macd_hist_change,21
atr_ratio,20
atr_normalized,20
stoch_d,19
macd_hist,19
volume_ratio,18
price_sma_50_dist,15
price_bb_lower_dist,15
ema_slow,14
momentum_20,12
momentum_convergence,11
rsi,11
bb_position,8
return_6,7
price_ema_slow_dist,7
momentum_ratio,6
sma_20,6
ema_cross,6
ema_cross_pct,5
return_3,5
price_sma_20_dist,4
price_bb_upper_dist,4
volume_change,4
lower_shadow,4
stoch_k,3
upper_shadow,3
range_pct,2
return_1,2
rsi_divergence,2
return_12,2
price_ema_fast_dist,2
bb_position_normalized,2
range,1
rsi_normalized,0
stoch_overbought,0
signal_convergence,0
momentum_10,0
ema_cross_signal,0
log_return,0
strong_trend,0
rsi_oversold,0
stoch_oversold,0
body,0
is_bullish,0
macd_cross_signal,0
low_volatility,0
high_volatility,0
body_pct,0
rsi_overbought,0
bb_breakout_upper,0
volume_spike,0
bb_breakout_lower,0
market_regime,0
