feature,importance
volume_ma,14
ema_fast,13
adx,13
sma_50,12
volume_ratio,8
momentum_convergence,7
macd_signal,7
volatility,6
atr_ma,6
atr_normalized,5
atr,5
sma_20,5
ema_slow,5
volatility_ratio,5
macd_strength,4
atr_ratio,3
volatility_ma,3
stoch_d,3
momentum_ratio,2
price_sma_50_dist,2
macd_hist,2
return_24,2
volume_change,1
price_sma_20_dist,1
range_pct,1
lower_shadow,1
range,1
momentum_20,1
return_6,1
price_ema_slow_dist,1
price_ema_fast_dist,1
signal_convergence,1
body,1
momentum_10,0
high_volatility,0
strong_trend,0
stoch_oversold,0
macd,0
stoch_overbought,0
stoch_k,0
low_volatility,0
log_return,0
body_pct,0
ema_cross,0
volume_spike,0
upper_shadow,0
is_bullish,0
return_1,0
return_3,0
return_12,0
macd_cross_signal,0
macd_hist_change,0
ema_cross_signal,0
ema_cross_pct,0
market_regime,0
