feature,importance
bb_lower,16
sma_50,11
ema_fast,10
volume_ma,10
volatility,10
momentum_convergence,9
price_sma_50_dist,9
volatility_ratio,8
adx,8
volume_ratio,8
macd_signal,8
bb_middle,7
atr_ma,6
atr_ratio,6
macd_strength,5
ema_slow,4
volatility_ma,4
bb_width,4
atr,3
atr_normalized,3
momentum_ratio,2
price_ema_slow_dist,2
lower_shadow,2
sma_20,2
price_sma_20_dist,2
momentum_10,2
price_ema_fast_dist,1
macd_hist_change,1
macd_hist,1
price_bb_upper_dist,1
bb_position_normalized,1
signal_convergence,1
stoch_k,1
rsi,1
upper_shadow,1
rsi_normalized,1
return_3,1
range,1
range_pct,1
return_6,1
return_12,1
high_volatility,0
low_volatility,0
body_pct,0
stoch_d,0
ema_cross_signal,0
is_bullish,0
stoch_oversold,0
body,0
strong_trend,0
momentum_20,0
macd,0
bb_upper,0
stoch_overbought,0
volume_spike,0
volume_change,0
ema_cross_pct,0
return_1,0
return_24,0
log_return,0
macd_cross_signal,0
rsi_overbought,0
rsi_oversold,0
bb_breakout_lower,0
bb_breakout_upper,0
price_bb_lower_dist,0
rsi_divergence,0
ema_cross,0
bb_position,0
market_regime,0
