feature,importance
atr_ma,84
bb_upper,78
sma_50,73
price_sma_50_dist,55
volatility,55
bb_middle,54
volatility_ma,52
volume_ma,49
adx,49
momentum_convergence,45
stoch_d,43
bb_lower,38
atr_normalized,21
stoch_k,18
atr,13
return_24,13
momentum_20,10
price_bb_upper_dist,9
sma_20,7
rsi_normalized,7
volatility_ratio,6
atr_ratio,5
return_6,3
rsi,3
bb_position_normalized,2
return_12,2
bb_width,1
price_bb_lower_dist,1
price_sma_20_dist,1
volume_ratio,1
stoch_overbought,1
body,0
upper_shadow,0
body_pct,0
stoch_oversold,0
rsi_divergence,0
high_volatility,0
strong_trend,0
range_pct,0
range,0
momentum_10,0
signal_convergence,0
low_volatility,0
is_bullish,0
lower_shadow,0
volume_change,0
volume_spike,0
return_1,0
momentum_ratio,0
return_3,0
log_return,0
bb_breakout_lower,0
bb_breakout_upper,0
rsi_overbought,0
rsi_oversold,0
bb_position,0
market_regime,0
