feature,importance
volume_ma,149
atr_ma,141
sma_50,112
volatility_ma,101
bb_upper,98
volatility,96
adx,77
ema_cross,68
atr,66
stoch_d,63
ema_fast,56
bb_lower,55
ema_slow,55
volatility_ratio,52
price_sma_50_dist,45
atr_normalized,41
rsi_normalized,38
ema_cross_pct,37
momentum_convergence,37
bb_middle,36
bb_width,33
stoch_k,30
return_24,27
range,24
rsi,20
momentum_20,18
bb_position,14
price_bb_upper_dist,12
volume_ratio,11
range_pct,11
return_12,9
return_6,9
momentum_ratio,8
atr_ratio,8
upper_shadow,7
volume_change,6
bb_position_normalized,6
price_bb_lower_dist,6
momentum_10,5
price_ema_fast_dist,4
sma_20,4
rsi_divergence,2
price_sma_20_dist,2
price_ema_slow_dist,1
lower_shadow,1
return_3,1
bb_breakout_lower,0
stoch_oversold,0
signal_convergence,0
body,0
body_pct,0
is_bullish,0
strong_trend,0
return_1,0
stoch_overbought,0
bb_breakout_upper,0
log_return,0
low_volatility,0
high_volatility,0
rsi_overbought,0
rsi_oversold,0
ema_cross_signal,0
volume_spike,0
market_regime,0
