feature,importance
ema_fast,31
sma_50,28
adx,28
volatility_ratio,24
volume_ma,24
volatility_ma,24
volatility,23
macd_strength,21
macd,17
sma_20,15
return_24,14
volume_ratio,14
ema_slow,10
macd_signal,9
ema_cross_pct,8
return_12,8
momentum_20,8
macd_hist,7
momentum_ratio,6
price_sma_20_dist,6
momentum_convergence,6
macd_hist_change,5
upper_shadow,5
return_6,5
price_sma_50_dist,5
range_pct,5
rsi,4
stoch_d,4
lower_shadow,4
range,4
price_ema_fast_dist,3
rsi_normalized,3
return_3,3
body_pct,3
ema_cross,2
stoch_k,2
momentum_10,2
price_ema_slow_dist,1
log_return,1
strong_trend,0
signal_convergence,0
stoch_oversold,0
stoch_overbought,0
ema_cross_signal,0
low_volatility,0
high_volatility,0
volume_change,0
volume_spike,0
macd_cross_signal,0
rsi_divergence,0
rsi_oversold,0
rsi_overbought,0
return_1,0
is_bullish,0
body,0
market_regime,0
