feature,importance
volatility_ma,140
sma_50,105
atr_ratio,99
volume_ma,95
macd_signal,90
macd_strength,70
adx,66
atr_ma,62
sma_20,61
ema_fast,60
atr,60
macd_hist,54
ema_slow,51
range_pct,49
momentum_convergence,48
return_24,44
price_sma_50_dist,42
volatility_ratio,30
volume_change,25
upper_shadow,24
atr_normalized,24
range,22
volatility,22
ema_cross_pct,20
macd,19
stoch_d,15
ema_cross,13
return_12,12
momentum_20,12
momentum_ratio,10
price_ema_slow_dist,9
momentum_10,8
price_sma_20_dist,8
volume_ratio,7
stoch_k,6
market_regime,5
price_ema_fast_dist,5
macd_hist_change,3
return_1,2
body,1
return_3,1
return_6,0
signal_convergence,0
lower_shadow,0
is_bullish,0
strong_trend,0
stoch_overbought,0
stoch_oversold,0
volume_spike,0
log_return,0
ema_cross_signal,0
low_volatility,0
high_volatility,0
macd_cross_signal,0
body_pct,0
