feature,importance
atr_ma,59
bb_upper,57
volatility_ma,53
sma_50,48
volatility,46
bb_middle,45
momentum_convergence,44
adx,41
volume_ma,41
stoch_d,32
price_sma_50_dist,32
bb_lower,27
stoch_k,16
atr_normalized,13
price_bb_upper_dist,13
return_24,12
momentum_20,11
atr,8
volatility_ratio,7
rsi_normalized,6
sma_20,5
rsi,4
atr_ratio,3
bb_position,2
price_bb_lower_dist,1
bb_position_normalized,1
momentum_10,1
range,1
range_pct,1
body,1
bb_width,0
lower_shadow,0
signal_convergence,0
price_sma_20_dist,0
strong_trend,0
stoch_oversold,0
stoch_overbought,0
body_pct,0
upper_shadow,0
low_volatility,0
high_volatility,0
is_bullish,0
rsi_divergence,0
volume_change,0
volume_spike,0
volume_ratio,0
return_1,0
momentum_ratio,0
return_3,0
return_6,0
return_12,0
bb_breakout_lower,0
bb_breakout_upper,0
log_return,0
rsi_overbought,0
rsi_oversold,0
market_regime,0
