feature,importance
volume_ma,197
sma_50,176
atr_ma,171
adx,130
ema_fast,121
bb_upper,120
macd_signal,113
volatility_ma,105
bb_lower,96
volatility,93
atr,80
bb_middle,73
momentum_convergence,66
atr_normalized,61
ema_slow,58
bb_width,52
volatility_ratio,48
atr_ratio,44
macd_strength,37
stoch_d,36
price_sma_50_dist,35
macd,34
macd_hist,33
return_24,24
rsi,24
volume_ratio,23
stoch_k,20
price_bb_upper_dist,18
sma_20,17
momentum_20,16
ema_cross_pct,15
return_6,12
momentum_ratio,11
ema_cross,10
range,10
macd_hist_change,10
price_bb_lower_dist,10
return_12,9
strong_trend,9
range_pct,9
rsi_normalized,8
upper_shadow,6
price_ema_slow_dist,6
momentum_10,6
signal_convergence,5
return_3,5
volume_change,4
market_regime,2
bb_position,2
price_ema_fast_dist,2
price_sma_20_dist,2
body,1
body_pct,1
log_return,1
lower_shadow,1
bb_position_normalized,1
rsi_divergence,1
volume_spike,0
high_volatility,0
low_volatility,0
return_1,0
macd_cross_signal,0
stoch_overbought,0
stoch_oversold,0
bb_breakout_lower,0
bb_breakout_upper,0
ema_cross_signal,0
rsi_oversold,0
rsi_overbought,0
is_bullish,0
