feature,importance
ema_slow,33
volatility_ma,32
sma_50,29
volume_ma,27
volatility,22
adx,20
volatility_ratio,19
macd_signal,17
sma_20,17
ema_fast,16
range,12
rsi_normalized,11
price_sma_50_dist,8
stoch_d,8
return_24,7
macd,6
stoch_k,6
momentum_convergence,5
momentum_20,4
macd_strength,4
macd_hist,4
rsi,4
range_pct,4
signal_convergence,4
ema_cross,3
return_6,3
macd_hist_change,2
ema_cross_pct,2
price_ema_fast_dist,2
volume_ratio,1
momentum_10,1
return_12,1
price_ema_slow_dist,1
volume_change,1
upper_shadow,1
momentum_ratio,1
low_volatility,0
high_volatility,0
price_sma_20_dist,0
stoch_oversold,0
strong_trend,0
stoch_overbought,0
ema_cross_signal,0
volume_spike,0
macd_cross_signal,0
rsi_divergence,0
rsi_oversold,0
rsi_overbought,0
log_return,0
return_3,0
return_1,0
is_bullish,0
lower_shadow,0
body_pct,0
body,0
market_regime,0
