feature,importance
sma_50,85
adx,61
volume_ma,59
atr,48
volatility_ma,46
volatility_ratio,42
atr_ma,42
ema_slow,40
volatility,37
macd_signal,36
volume_ratio,35
ema_fast,33
atr_ratio,30
sma_20,26
macd_strength,22
macd_hist,21
return_24,19
ema_cross_pct,18
lower_shadow,17
atr_normalized,16
price_sma_20_dist,16
momentum_convergence,15
macd,14
macd_hist_change,12
return_3,11
momentum_20,11
stoch_d,11
return_6,10
stoch_k,9
ema_cross,8
price_sma_50_dist,8
return_12,8
volume_change,7
price_ema_slow_dist,6
body_pct,6
momentum_ratio,5
range,5
return_1,4
body,4
upper_shadow,4
price_ema_fast_dist,3
range_pct,2
volume_spike,0
strong_trend,0
signal_convergence,0
log_return,0
ema_cross_signal,0
momentum_10,0
stoch_oversold,0
is_bullish,0
stoch_overbought,0
macd_cross_signal,0
low_volatility,0
high_volatility,0
market_regime,0
